timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];cadence[rpm];accumulated_power[watts];left_pco[mm];right_pco[mm];right_power_phase[degrees];right_power_phase_peak[degrees];left_right_balance;left_power_phase[degrees];left_power_phase_peak[degrees]
935669107;65.24;58.00;10.15;500;144;30;99;3076;-6;-3;3.19218754987793E-5|2.109375032958985E-5;1.1250000175781253E-5|1.1953125186767581E-5;179;0.0|2.432812538012696E-5;9.140625142822268E-6|1.265625019775391E-5
935669108;75.79;58.00;10.46;414;147;30;99;3490;-6;-3;3.19218754987793E-5|2.109375032958985E-5;1.1250000175781253E-5|1.1953125186767581E-5;183;1.4062500219726565E-7|2.2781250355957036E-5;1.0546875164794924E-5|1.265625019775391E-5
935669109;86.56;57.80;10.73;458;150;30;106;3948;-7;0;3.19218754987793E-5|2.109375032958985E-5;1.1250000175781253E-5|1.1953125186767581E-5;183;1.4062500219726565E-7|2.2781250355957036E-5;1.0546875164794924E-5|1.265625019775391E-5
935669110;97.69;57.80;11.15;376;153;30;94;4324;-7;1;3.360937552514649E-5|2.0671875322998053E-5;9.984375156005861E-6|1.2375000193359378E-5;184;7.031250109863283E-7|2.1656250338378913E-5;9.000000140625001E-6|1.2093750188964847E-5
935669111;109.03;57.80;11.06;115;155;30;76;4439;-7;1;5.625000087890626E-7|1.9265625301025395E-5;1.1250000175781253E-5|1.1812500184570315E-5;184;7.031250109863283E-7|2.1656250338378913E-5;9.000000140625001E-6|1.2093750188964847E-5
935669112;120.19;57.80;11.07;264;157;30;101;4703;-13;1;5.625000087890626E-7|1.9265625301025395E-5;1.1250000175781253E-5|1.1812500184570315E-5;183;7.031250109863283E-7|2.1656250338378913E-5;9.000000140625001E-6|1.2093750188964847E-5
935669113;131.4;57.80;11.16;258;159;30;97;4961;-13;1;5.625000087890626E-7|1.9265625301025395E-5;1.1250000175781253E-5|1.1812500184570315E-5;180;3.4171875533935555E-5|2.137500033398438E-5;8.296875129638674E-6|1.2796875199951175E-5
935669114;142.85;57.80;11.32;256;160;30;95;5217;-12;1;3.389062552954102E-5|2.0250000316406255E-5;9.140625142822268E-6|1.1953125186767581E-5;180;3.543750055371095E-5|2.1796875340576176E-5;8.296875129638674E-6|1.1953125186767581E-5
935669115;154.29;57.80;11.37;248;161;30;94;5465;-11;0;3.389062552954102E-5|2.0250000316406255E-5;9.140625142822268E-6|1.1953125186767581E-5;180;3.445312553833009E-5|2.109375032958985E-5;8.43750013183594E-6|1.2515625195556644E-5
935669116;165.94;57.80;11.39;172;162;30;95;5637;-12;-1;3.501562554711915E-5|2.010937531420899E-5;8.43750013183594E-6|1.1812500184570315E-5;185;5.625000087890626E-7|2.1796875340576176E-5;8.156250127441408E-6|1.265625019775391E-5
935669117;177.48;57.80;11.23;113;162;30;94;5750;-9;2;3.501562554711915E-5|2.010937531420899E-5;8.43750013183594E-6|1.1812500184570315E-5;178;5.625000087890626E-7|2.1796875340576176E-5;8.156250127441408E-6|1.265625019775391E-5
935669118;188.82;58.00;11.18;61;162;30;93;5811;-5;4;1.265625019775391E-6|1.940625030322266E-5;9.000000140625001E-6|1.1390625177978518E-5;180;5.625000087890626E-7|2.1796875340576176E-5;8.156250127441408E-6|1.265625019775391E-5
935669119;200.14;58.00;11.11;80;162;30;93;5891;-6;4;1.265625019775391E-6|1.940625030322266E-5;9.000000140625001E-6|1.1390625177978518E-5;177;5.625000087890626E-7|2.1796875340576176E-5;8.156250127441408E-6|1.265625019775391E-5
935669120;211.25;58.00;11.09;120;162;30;92;6011;-11;2;1.8281250285644535E-6|1.982812530981446E-5;9.000000140625001E-6|1.2234375191162112E-5;183;5.625000087890626E-7|2.1796875340576176E-5;8.156250127441408E-6|1.265625019775391E-5
935669121;222.38;58.00;11.04;130;162;30;91;6141;-9;-1;4.21875006591797E-7|1.88437502944336E-5;8.43750013183594E-6|1.1953125186767581E-5;186;1.4062500219726565E-7|2.0671875322998053E-5;7.875000123046877E-6|1.265625019775391E-5
935669122;233.42;58.00;10.96;21;162;30;79;6162;-9;-1;0.0|1.912500029882813E-5;8.859375138427737E-6|1.2796875199951175E-5;188;1.4062500219726565E-7|2.0671875322998053E-5;7.875000123046877E-6|1.265625019775391E-5
935669123;244.33;58.00;10.63;40;161;30;79;6162;-6;4;0.0|1.912500029882813E-5;8.859375138427737E-6|1.2796875199951175E-5;188;1.4062500219726565E-7|2.0671875322998053E-5;7.875000123046877E-6|1.265625019775391E-5
935669124;254.51;58.00;9.69;40;161;30;79;6162;-6;4;7.031250109863283E-7|1.814062528344727E-5;7.171875112060549E-6|1.2093750188964847E-5;188;1.4062500219726565E-7|2.0671875322998053E-5;7.875000123046877E-6|1.265625019775391E-5
935669125;264.06;58.20;9.70;40;160;30;25;6282;-8;4;7.031250109863283E-7|1.814062528344727E-5;7.171875112060549E-6|1.2093750188964847E-5;187;1.4062500219726565E-7|2.0671875322998053E-5;7.875000123046877E-6|1.265625019775391E-5
935669126;273.32;58.20;9.55;452;160;30;91;6734;-10;10;3.27656255119629E-5|2.0250000316406255E-5;7.45312511645508E-6|1.0546875164794924E-5;181;3.445312553833009E-5|2.629687541088868E-5;8.43750013183594E-6|1.167187518237305E-5
935669127;283.1;58.20;9.70;385;159;30;90;7119;-12;-1;3.27656255119629E-5|2.0250000316406255E-5;7.45312511645508E-6|1.0546875164794924E-5;174;3.529687555151368E-5|2.432812538012696E-5;7.5937501186523455E-6|1.1531250180175784E-5
935669128;293.23;58.20;10.19;483;159;30;94;7602;-5;0;3.360937552514649E-5|2.0812500325195316E-5;8.71875013623047E-6|1.2375000193359378E-5;174;3.529687555151368E-5|2.432812538012696E-5;7.5937501186523455E-6|1.1531250180175784E-5
935669129;303.79;58.20;10.61;396;159;30;50;7998;-5;0;0.0|2.0953125327392582E-5;1.0968750171386721E-5|1.293750020214844E-5;180;1.4062500219726565E-7|2.1796875340576176E-5;1.0968750171386721E-5|1.1953125186767581E-5
935669130;314.83;58.20;10.94;435;159;30;97;8433;-8;-5;0.0|2.0953125327392582E-5;1.0968750171386721E-5|1.293750020214844E-5;179;1.4062500219726565E-7|2.1796875340576176E-5;1.0968750171386721E-5|1.1953125186767581E-5
935669131;326.13;58.40;11.35;429;159;30;103;8862;-7;-1;5.625000087890626E-7|2.109375032958985E-5;1.1390625177978518E-5|1.167187518237305E-5;182;8.43750013183594E-7|2.2218750347167974E-5;1.1109375173583987E-5|1.2093750188964847E-5
935669132;337.6;58.40;11.33;174;159;30;98;9036;-7;-1;0.0|2.010937531420899E-5;9.562500149414064E-6|1.0828125169189457E-5;179;3.501562554711915E-5|2.4468750382324223E-5;8.43750013183594E-6|1.265625019775391E-5
935669133;349.03;58.40;11.24;169;160;30;94;9205;-11;2;3.009375047021485E-5|1.9968750312011722E-5;8.43750013183594E-6|1.2515625195556644E-5;179;2.812500043945313E-7|2.235937534936524E-5;8.015625125244143E-6|1.265625019775391E-5
935669134;360.44;58.40;11.29;192;160;30;93;9397;-11;2;3.009375047021485E-5|1.9968750312011722E-5;8.43750013183594E-6|1.2515625195556644E-5;178;2.812500043945313E-7|2.235937534936524E-5;8.015625125244143E-6|1.265625019775391E-5
935669135;371.85;58.40;11.31;189;161;30;99;9586;-11;-1;3.543750055371095E-5|2.039062531860352E-5;8.156250127441408E-6|1.1812500184570315E-5;178;3.529687555151368E-5|2.1234375331787115E-5;8.015625125244143E-6|1.265625019775391E-5
935669136;383.26;58.60;11.34;179;161;30;101;9765;-11;-1;3.529687555151368E-5|1.940625030322266E-5;8.43750013183594E-6|1.2234375191162112E-5;181;3.501562554711915E-5|2.0812500325195316E-5;8.578125134033205E-6|1.2796875199951175E-5
935669137;394.7;58.60;11.36;128;161;30;100;9893;-11;-1;3.529687555151368E-5|1.940625030322266E-5;8.43750013183594E-6|1.2234375191162112E-5;179;3.501562554711915E-5|2.0812500325195316E-5;8.578125134033205E-6|1.2796875199951175E-5
935669138;406.12;58.80;11.26;87;162;30;100;9980;-6;3;1.4062500219726567E-6|1.9687500307617193E-5;9.000000140625001E-6|1.2234375191162112E-5;179;2.812500043945313E-7|2.0250000316406255E-5;8.015625125244143E-6|1.2796875199951175E-5
935669139;417.36;58.80;11.08;70;161;30;97;10050;-6;3;1.1250000175781252E-6|2.039062531860352E-5;5.625000087890627E-6|9.984375156005861E-6;175;2.812500043945313E-7|2.0250000316406255E-5;8.015625125244143E-6|1.2796875199951175E-5
935669140;428.45;58.80;10.94;37;162;30;88;10087;-6;5;1.1250000175781252E-6|2.039062531860352E-5;5.625000087890627E-6|9.984375156005861E-6;176;2.812500043945313E-7|2.0250000316406255E-5;8.015625125244143E-6|1.2796875199951175E-5
935669141;439.36;58.80;10.74;31;161;30;91;10118;-6;5;1.1250000175781252E-6|2.039062531860352E-5;5.625000087890627E-6|9.984375156005861E-6;188;2.812500043945313E-7|2.0250000316406255E-5;8.015625125244143E-6|1.2796875199951175E-5
935669142;450.13;59.00;10.61;57;161;30;97;10175;-6;6;1.1250000175781252E-6|2.039062531860352E-5;5.625000087890627E-6|9.984375156005861E-6;175;4.21875006591797E-7|2.109375032958985E-5;8.156250127441408E-6|1.3218750206542971E-5
935669143;460.72;59.00;10.52;92;161;30;94;10267;-10;4;2.109375032958985E-6|1.9546875305419927E-5;7.875000123046877E-6|1.167187518237305E-5;176;7.031250109863283E-7|2.010937531420899E-5;7.45312511645508E-6|1.293750020214844E-5
935669144;471.36;59.00;10.55;159;161;30;94;10426;-9;1;8.43750013183594E-7|1.9687500307617193E-5;7.734375120849611E-6|1.167187518237305E-5;171;3.571875055810548E-5|2.0812500325195316E-5;7.45312511645508E-6|1.2093750188964847E-5
935669145;482.04;59.20;10.62;217;161;30;95;10643;-12;-1;8.43750013183594E-7|1.9687500307617193E-5;7.734375120849611E-6|1.167187518237305E-5;174;3.571875055810548E-5|2.0812500325195316E-5;7.45312511645508E-6|1.2093750188964847E-5
935669146;492.84;59.40;10.81;219;161;30;94;10862;-14;-2;3.529687555151368E-5|1.9968750312011722E-5;7.312500114257814E-6|1.1531250180175784E-5;179;3.529687555151368E-5|2.2500000351562507E-5;7.5937501186523455E-6|1.2234375191162112E-5
935669147;503.76;59.40;10.85;109;161;30;96;10971;-14;1;3.529687555151368E-5|1.9968750312011722E-5;7.312500114257814E-6|1.1531250180175784E-5;178;1.4062500219726567E-6|1.9687500307617193E-5;8.578125134033205E-6|1.2515625195556644E-5
935669148;503.76;59.60;10.85;42;161;30;96;11013;-9;1;3.473437554272462E-5|2.010937531420899E-5;7.45312511645508E-6|1.1531250180175784E-5;183;1.4062500219726567E-6|1.9687500307617193E-5;8.578125134033205E-6|1.2515625195556644E-5
935669149;525.51;59.60;10.67;29;160;30;92;11042;-9;1;3.473437554272462E-5|2.010937531420899E-5;7.45312511645508E-6|1.1531250180175784E-5;176;1.4062500219726567E-6|1.9687500307617193E-5;8.578125134033205E-6|1.2515625195556644E-5
935669150;536.25;59.80;10.62;80;159;30;93;11122;-6;5;3.473437554272462E-5|2.010937531420899E-5;7.45312511645508E-6|1.1531250180175784E-5;180;1.4062500219726567E-6|1.9687500307617193E-5;8.578125134033205E-6|1.2515625195556644E-5
935669151;546.92;60.00;10.61;74;158;30;96;11196;-7;4;3.473437554272462E-5|2.010937531420899E-5;7.45312511645508E-6|1.1531250180175784E-5;180;1.4062500219726567E-6|1.9687500307617193E-5;8.578125134033205E-6|1.2515625195556644E-5
935669152;557.54;60.00;10.53;65;158;30;93;11261;-7;4;1.265625019775391E-6|1.9968750312011722E-5;8.578125134033205E-6|1.2515625195556644E-5;174;0.0|2.0953125327392582E-5;8.156250127441408E-6|1.265625019775391E-5
