timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];left_right_balance;accumulated_power[watts];cadence[rpm];left_pco[mm];right_pco[mm];left_power_phase[degrees];left_power_phase_peak[degrees];right_power_phase[degrees];right_power_phase_peak[degrees]
962862089;25.85;32.80;3.94;145;124;28;171;435;60;2;2;3.445312553833009E-5|1.9968750312011722E-5;5.062500079101564E-6|9.70312515161133E-6;1.4062500219726565E-7|1.940625030322266E-5;8.156250127441408E-6|1.1250000175781253E-5
962862090;30.0;32.80;4.89;374;125;28;171;809;75;3;6;8.43750013183594E-7|2.0953125327392582E-5;6.609375103271486E-6|1.1812500184570315E-5;1.4062500219726565E-7|1.940625030322266E-5;8.156250127441408E-6|1.1250000175781253E-5
962862091;35.24;32.80;5.75;438;128;28;179;1247;85;3;6;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|1.9546875305419927E-5;7.312500114257814E-6|1.167187518237305E-5
962862092;41.3;32.60;6.20;18;129;28;179;1247;85;3;6;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|1.9546875305419927E-5;7.312500114257814E-6|1.167187518237305E-5
962862093;47.83;32.60;6.19;18;130;28;228;1283;23;3;6;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862094;54.18;32.60;6.17;1;132;28;228;1283;57;3;6;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862095;60.44;32.60;6.16;1;133;28;228;1286;57;3;9;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862096;66.68;32.60;6.10;5;134;28;179;1291;53;1;9;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862097;72.88;32.60;6.10;3;134;28;179;1294;72;1;7;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862098;79.08;32.40;6.08;33;134;28;178;1294;72;0;9;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862099;85.31;32.40;6.13;33;134;28;175;1360;75;-6;9;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862100;91.54;32.40;6.15;33;134;28;185;1393;68;-4;8;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862101;97.88;32.40;6.32;9;134;28;188;1402;66;-4;8;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862102;104.32;32.40;6.43;14;133;28;147;1416;66;-3;8;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862103;110.96;32.40;6.65;189;133;28;147;1605;76;-1;5;1.5468750241699222E-6|2.1656250338378913E-5;7.875000123046877E-6|1.1390625177978518E-5;0.0|2.460937538452149E-5;8.296875129638674E-6|1.1953125186767581E-5
962862104;117.86;32.40;7.08;175;132;28;175;1780;81;-1;5;0.0|2.1515625336181647E-5;6.46875010107422E-6|1.167187518237305E-5;3.5156250549316415E-5|2.264062535375977E-5;6.187500096679689E-6|1.1812500184570315E-5
962862105;125.03;32.40;7.43;107;132;28;179;1887;82;-7;3;2.8125000439453133E-6|2.039062531860352E-5;9.4218751472168E-6|1.1812500184570315E-5;3.5156250549316415E-5|1.940625030322266E-5;6.0468750944824235E-6|1.167187518237305E-5
962862106;132.31;32.40;7.88;129;132;28;169;2016;82;-7;6;2.8125000439453133E-6|2.039062531860352E-5;9.4218751472168E-6|1.1812500184570315E-5;3.5156250549316415E-5|1.940625030322266E-5;6.0468750944824235E-6|1.167187518237305E-5
962862107;139.51;32.40;7.54;105;132;28;185;2121;82;-7;4;2.812500043945313E-7|2.0953125327392582E-5;8.015625125244143E-6|1.1250000175781253E-5;3.5156250549316415E-5|1.940625030322266E-5;6.0468750944824235E-6|1.167187518237305E-5
962862108;146.5;32.40;7.07;82;132;28;166;2203;82;-10;4;7.031250109863283E-7|2.0671875322998053E-5;7.45312511645508E-6|1.167187518237305E-5;1.8281250285644535E-6|1.9546875305419927E-5;5.4843750856933605E-6|1.0546875164794924E-5
962862109;153.6;32.40;7.50;83;132;28;174;2286;76;-8;4;7.031250109863283E-7|2.0671875322998053E-5;7.45312511645508E-6|1.167187518237305E-5;1.8281250285644535E-6|1.9546875305419927E-5;5.4843750856933605E-6|1.0546875164794924E-5
962862110;161.14;32.40;7.43;124;132;28;166;2410;84;-11;3;1.4062500219726567E-6|2.0953125327392582E-5;6.890625107666017E-6|1.167187518237305E-5;1.8281250285644535E-6|1.9546875305419927E-5;5.4843750856933605E-6|1.0546875164794924E-5
962862111;168.69;32.40;7.38;124;133;28;178;2534;81;-11;3;5.625000087890626E-7|2.109375032958985E-5;7.031250109863283E-6|1.2375000193359378E-5;9.843750153808596E-7|2.0250000316406255E-5;7.45312511645508E-6|1.2234375191162112E-5
962862112;176.15;32.40;7.33;127;133;28;178;2661;82;-10;2;8.43750013183594E-7|2.1234375331787115E-5;7.171875112060549E-6|1.2375000193359378E-5;8.43750013183594E-7|1.982812530981446E-5;6.750000105468752E-6|1.1812500184570315E-5
962862113;183.57;32.20;7.34;120;133;28;178;2781;81;-10;2;8.43750013183594E-7|2.1234375331787115E-5;7.171875112060549E-6|1.2375000193359378E-5;1.4062500219726565E-7|1.982812530981446E-5;6.890625107666017E-6|1.2093750188964847E-5
962862114;190.98;32.00;7.30;105;134;28;178;2886;81;-9;1;8.43750013183594E-7|2.1234375331787115E-5;7.171875112060549E-6|1.2375000193359378E-5;1.4062500219726565E-7|1.982812530981446E-5;6.890625107666017E-6|1.2093750188964847E-5
962862115;198.32;32.00;7.32;113;134;28;174;2999;81;-9;1;9.843750153808596E-7|2.0671875322998053E-5;7.031250109863283E-6|1.2234375191162112E-5;1.4062500219726565E-7|1.982812530981446E-5;6.890625107666017E-6|1.2093750188964847E-5
962862116;205.73;31.80;7.34;122;135;28;177;3121;81;-10;1;9.843750153808596E-7|2.0671875322998053E-5;7.031250109863283E-6|1.2234375191162112E-5;1.4062500219726565E-7|1.982812530981446E-5;6.890625107666017E-6|1.2093750188964847E-5
962862117;213.2;31.80;7.40;103;135;28;176;3224;82;-7;3;9.843750153808596E-7|2.0671875322998053E-5;7.031250109863283E-6|1.2234375191162112E-5;4.21875006591797E-7|2.0531250320800787E-5;7.312500114257814E-6|1.1953125186767581E-5
962862118;220.74;31.80;7.52;94;135;28;176;3318;85;-7;3;5.625000087890626E-7|2.109375032958985E-5;6.609375103271486E-6|1.1953125186767581E-5;1.265625019775391E-6|2.0250000316406255E-5;6.46875010107422E-6|1.1953125186767581E-5
962862119;228.31;31.80;7.69;60;135;28;174;3378;86;-7;3;5.625000087890626E-7|2.109375032958985E-5;6.609375103271486E-6|1.1953125186767581E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862120;236.07;31.80;7.76;59;135;28;174;3437;86;-8;5;5.625000087890626E-7|2.109375032958985E-5;6.609375103271486E-6|1.1953125186767581E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862121;243.84;31.80;7.75;41;136;28;171;3478;86;-8;5;1.1250000175781252E-6|2.010937531420899E-5;6.609375103271486E-6|1.293750020214844E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862122;251.7;31.80;7.80;48;136;28;175;3526;83;-9;3;1.1250000175781252E-6|2.010937531420899E-5;6.609375103271486E-6|1.293750020214844E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862123;259.76;31.80;8.05;66;136;28;175;3592;87;-8;4;1.1250000175781252E-6|2.010937531420899E-5;6.609375103271486E-6|1.293750020214844E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862124;267.98;31.60;8.28;87;136;28;170;3679;86;-10;5;1.4062500219726567E-6|2.039062531860352E-5;6.187500096679689E-6|1.1531250180175784E-5;1.9687500307617193E-6|1.982812530981446E-5;5.906250092285157E-6|1.068750016699219E-5
962862125;276.49;31.60;8.57;161;136;28;171;3840;87;-12;3;1.4062500219726567E-6|2.039062531860352E-5;6.187500096679689E-6|1.1531250180175784E-5;9.843750153808596E-7|2.0953125327392582E-5;7.5937501186523455E-6|1.2234375191162112E-5
962862126;285.69;31.60;9.05;169;136;28;180;4009;93;-12;3;7.031250109863283E-7|2.109375032958985E-5;7.171875112060549E-6|1.2375000193359378E-5;3.5156250549316415E-5|2.0250000316406255E-5;7.312500114257814E-6|1.265625019775391E-5
962862127;295.6;31.60;9.55;141;136;28;176;4150;94;-11;3;7.031250109863283E-7|2.109375032958985E-5;7.171875112060549E-6|1.2375000193359378E-5;3.5156250549316415E-5|2.0250000316406255E-5;7.312500114257814E-6|1.265625019775391E-5
962862128;306.44;31.40;10.27;93;136;28;181;4243;92;-11;3;7.031250109863283E-7|2.0812500325195316E-5;7.031250109863283E-6|1.2515625195556644E-5;0.0|1.9687500307617193E-5;6.750000105468752E-6|1.1390625177978518E-5
962862129;317.54;31.40;10.62;85;136;28;177;4328;95;-11;3;7.031250109863283E-7|2.010937531420899E-5;6.609375103271486E-6|1.1953125186767581E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862130;329.29;31.40;11.08;62;137;28;177;4390;92;-10;4;3.557812555590821E-5|2.0531250320800787E-5;7.45312511645508E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862131;341.2;31.00;11.29;77;137;28;179;4467;100;-9;3;3.557812555590821E-5|2.0531250320800787E-5;7.45312511645508E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862132;353.19;30.80;11.44;48;137;28;173;4515;91;-8;3;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862133;364.71;30.40;11.13;21;136;28;171;4536;70;-9;4;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862134;376.31;30.00;11.55;0;136;28;171;4536;59;-9;4;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862135;387.83;29.40;11.45;0;135;28;128;4537;59;-4;4;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862136;409.54;29.00;10.82;1;134;28;179;4538;61;-4;4;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862137;409.54;28.40;10.82;2;134;28;128;4540;60;-4;6;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862138;419.77;28.00;10.13;4;134;28;188;4544;59;-4;6;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862139;429.02;27.40;9.39;1;133;28;128;4545;60;-4;6;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862140;437.65;27.20;8.69;1;132;28;128;4545;59;-4;6;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862141;445.55;27.00;7.96;1;131;28;128;4548;58;-2;5;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
