,Time,Latitude,Longitude,Elevation,Distance,Heart_rate,Speed,Cadence,Lap,HR_smooth,Distance_miles,Elevation_feet,dElevation
0,2020-02-16 07:42:42+00:00,44.15129399858415,12.276197411119938,23.2,4.43,111.0,4.432,78.0,1,,0.002752681223358644,76.11456,
1,2020-02-16 07:42:43+00:00,44.151313779875636,12.276246109977365,23.2,8.82,111.0,4.385,58.0,1,,0.005480507537251296,76.11456,0.0
2,2020-02-16 07:42:44+00:00,44.15133045986295,12.276296569034457,23.2,13.15,111.0,4.329,58.0,1,,0.008171051486944959,76.11456,0.0
3,2020-02-16 07:42:45+00:00,44.151343535631895,12.276347614824772,23.0,17.41,111.0,4.255,14.0,1,,0.010818099345073136,75.4584,-0.6561599999999999
4,2020-02-16 07:42:46+00:00,44.15135686285794,12.276394218206406,23.0,21.56,111.0,4.161,0.0,1,,0.013396796202169834,75.4584,0.0
5,2020-02-16 07:42:47+00:00,44.1513657476753,12.276439983397722,23.0,25.72,110.0,4.161,0.0,1,,0.01598170678663303,75.4584,0.0
6,2020-02-16 07:42:48+00:00,44.15137295611203,12.276483066380024,23.2,29.59,108.0,3.863,0.0,1,,0.018386419277467782,76.11456,0.6561599999999999
7,2020-02-16 07:42:49+00:00,44.1513794939965,12.276526652276516,23.2,33.38,108.0,3.788,0.0,1,,0.02074142194937055,76.11456,0.0
8,2020-02-16 07:42:50+00:00,44.15138485841453,12.276566969230771,23.2,36.77,107.0,3.396,0.0,1,,0.0228478755266134,76.11456,0.0
9,2020-02-16 07:42:51+00:00,44.151389887556434,12.276602005586028,23.4,39.87,108.0,3.098,0.0,1,,0.024774131010227796,76.77072,0.6561599999999999
10,2020-02-16 07:42:52+00:00,44.1513932403177,12.276629414409399,23.4,39.87,108.0,0.0,0.0,1,,0.024774131010227796,76.77072,0.0
11,2020-02-16 07:43:53+00:00,44.15143121033907,12.276619775220752,23.6,39.87,101.0,0.672,,1,,0.024774131010227796,77.42688000000001,0.6561600000000141
12,2020-02-16 07:43:54+00:00,44.15142433717847,12.276592031121254,23.6,41.78,101.0,1.913,0.0,1,,0.02596095293722893,77.42688000000001,0.0
13,2020-02-16 07:43:55+00:00,44.1514159552753,12.276556491851807,23.6,44.64,102.0,2.855,0.0,1,,0.027738078964047376,77.42688000000001,0.0
14,2020-02-16 07:43:56+00:00,44.151406986638904,12.276515336707234,23.6,47.82,104.0,3.182,104.0,1,,0.02971404426659376,77.42688000000001,0.0
15,2020-02-16 07:43:57+00:00,44.15139910764992,12.27646915242076,23.6,51.47,106.0,3.648,286.0,1,,0.03198205475536556,77.42688000000001,0.0
16,2020-02-16 07:43:58+00:00,44.15139055810869,12.276418777182698,23.6,55.44,107.0,3.975,290.0,1,,0.034448904519865285,77.42688000000001,0.0
17,2020-02-16 07:43:59+00:00,44.151379242539406,12.2763651330024,23.6,59.86,109.0,4.413,92.0,1,,0.03719537201585743,77.42688000000001,0.0
18,2020-02-16 07:44:00+00:00,44.15136591531336,12.276312746107578,23.6,64.12,111.0,4.264,92.0,1,,0.03984241987398562,77.42688000000001,0.0
